"price","bathrooms","sqft_living","floors","waterfront","condition","grade","age","renovated","basement_percent","living_percent","grupo","categoria_quartos"
270000,1,1780,1,0,4,9,60,0,0,0.0219696128164303,"D","2"
175000,1.5,1220,1,0,3,7,41,0,0,0.167123287671233,"D","3"
290000,2.5,2000,1,0,4,7,46,0,0.4,0.150375939849624,"D","4"
625000,1.75,3160,1,0,4,8,36,0,0.316455696202532,0.0414534959989505,"D","3"
320000,2.5,2280,2,0,3,8,16,0,0,0.307401914520696,"D","3"
317000,2.5,2160,2,0,3,9,27,0,0,0.268356317554976,"D","4"
215500,2,1380,2,0,2,7,68,1,0,0.153333333333333,"D","3"
250000,1.75,2320,1,0,5,7,52,0,0.443965517241379,0.301298701298701,"D","5"
3e+05,2.5,2600,2,0,3,8,12,0,0,0.303313112459169,"D","4"
235000,1,1610,1.5,0,3,6,67,0,0,0.0670833333333333,"D","4"
277950,2.5,1889,2,0,3,7,2,0,0,0.314833333333333,"D","4"
212500,1,920,1,0,4,7,37,0,0,0.0638888888888889,"D","3"
165000,1.5,1280,1,0,3,7,41,0,0,0.165331955567037,"D","3"
195000,1,1070,1,0,3,7,47,0,0,0.0475788163101961,"D","3"
299950,2.5,1600,2,0,4,8,21,0,0,0.162767039674466,"D","3"
389000,1.75,2180,1,0,4,7,77,0,0.5,0.23644251626898,"D","3"
360000,2,2680,1,0,5,8,49,0,0,0.142796248934356,"D","4"
263000,2.5,1720,2,0,3,7,27,0,0,0.251204907258653,"D","3"
241000,2,1770,1,0,3,7,28,0,0,0.252857142857143,"D","3"
180000,1.75,1330,1,0,3,7,36,0,0,0.083125,"D","3"
429000,2.5,2650,2,0,3,9,13,0,0,0.284915600473067,"D","4"
201000,1,1220,1,0,4,7,42,0,0,0.054359934055162,"D","3"
299999,2.5,2380,2,0,3,8,14,0,0,0.244881160613232,"D","3"
427000,2.5,2432,2,0,3,9,9,0,0,0.258971355553189,"D","3"
430000,2.5,3860,1,0,4,8,59,0,0.404145077720207,0.0903283176935857,"D","5"
220000,1.5,1660,2,0,3,7,33,0,0,0.106410256410256,"D","3"
260000,1.75,1670,1,0,3,7,29,0,0.197604790419162,0.196216660791916,"D","3"
220000,2.5,2160,2,0,3,7,21,0,0,0.269831355402873,"D","4"
225000,1,1660,1,0,3,7,51,0,0.337349397590361,0.230235783633842,"D","3"
160000,1.75,1370,2,0,3,7,24,0,0,0.171121658755933,"D","3"
279000,2.75,1770,1,0,3,8,12,0,0.31638418079096,0.16802734004177,"D","2"
207000,1,1980,1,0,4,7,71,0,0.353535353535354,0.105712760277629,"D","3"
169000,1,910,1,0,3,7,45,0,0,0.1183970856102,"D","3"
238000,1.5,1360,1,0,4,7,39,0,0.227941176470588,0.181623931623932,"D","3"
199950,2.75,1590,1.5,0,3,5,94,0,0,0.0760147248649424,"D","2"
182500,1,910,1,0,4,7,43,0,0,0.126494300806227,"D","3"
222400,2,1200,1,0,3,7,19,0,0,0.125444281831487,"D","3"
245000,2.25,2190,2,0,3,7,28,0,0,0.240316032042138,"D","4"
535000,2,2740,2,0,3,10,26,0,0,0.116570942352691,"D","3"
262000,2.5,2020,2,0,3,7,12,0,0,0.323925593329057,"D","4"
232000,1.5,1460,1,0,3,7,48,0,0,0.0973333333333333,"D","3"
247000,2,1590,1,0,5,7,53,0,0.333333333333333,0.170053475935829,"D","5"
237000,1.5,1800,1,0,4,7,64,0,0,0.1953125,"D","3"
205000,1,1370,1,0,3,7,45,0,0,0.127941725812477,"D","3"
250600,2.5,1930,1,0,3,7,33,0,0.419689119170984,0.222863741339492,"D","4"
225000,2,2030,1,0,4,7,35,0,0.399014778325123,0.0817592331547787,"D","3"
270000,2.5,1808,1,0,3,8,9,0,0,0.0941666666666667,"D","3"
225000,1.75,1580,1,0,4,7,34,0,0,0.109722222222222,"D","3"
415000,1,1050,1,0,4,7,71,0,0,0.0174671036215128,"D","2"
178500,1,900,1,0,4,6,54,0,0,0.0856245837693844,"D","3"
196440,2,1560,1,0,3,6,22,0,0,0.212187159956474,"D","3"
425000,2.5,2650,2,0,3,9,13,0,0,0.216379521515473,"D","3"
224000,1.5,1560,1,0,4,7,50,0,0.333333333333333,0.213698630136986,"D","3"
285000,2.5,2434,2,0,3,8,7,0,0,0.553181818181818,"D","4"
245000,2.5,1921,2,0,3,7,6,0,0,0.393003273322422,"D","4"
5e+05,3,3720,2,0,3,9,28,0,0.438172043010753,0.146031247546518,"D","5"
549950,3.5,3906,2,0,3,9,0,0,0,0.403762662807525,"D","4"
139950,0,844,1,0,4,7,102,0,0,0.197704380416959,"D","0"
285000,2.5,1590,2,0,3,7,30,0,0,0.163311421528348,"D","3"
271920,2,1410,1,0,3,7,30,0,0,0.137587822014052,"D","3"
359500,2.75,2140,2,0,3,8,21,0,0,0.207444746025591,"D","4"
227000,2,1150,1,0,4,7,52,0,0,0.117203424378312,"D","1"
571500,2.25,2810,2,0,3,8,55,0,0.338078291814947,0.108118507118122,"D","4"
183500,1,1010,1,0,4,6,40,0,0,0.134308510638298,"D","3"
310000,1.75,1880,1,0,3,8,26,0,0,0.0619521518486786,"D","3"
255000,2.5,1987,2,0,3,7,3,0,0,0.331166666666667,"D","4"
225000,1,1250,1,0,3,7,48,0,0,0.159846547314578,"D","3"
375900,2,1824,1,0,3,9,5,0,0,0.256179775280899,"D","3"
165000,1,1150,1,0,4,5,106,0,0,0.0598958333333333,"D","3"
290000,2.5,1600,2,0,3,7,15,0,0,0.233644859813084,"D","3"
269950,2.5,2244,2,0,3,7,3,0,0,0.550134836969846,"D","3"
269950,1,1440,1,0,2,7,51,0,0,0.15,"D","4"
260000,1.75,2170,1,0,4,7,36,0,0.248847926267281,0.21661010181673,"D","3"
212000,1.75,1470,1,0,3,7,25,0,0,0.176047904191617,"D","3"
185000,1,1510,1,0,4,6,39,0,0,0.0886150234741784,"D","3"
360000,2.5,2390,2,0,3,9,24,0,0,0.338718820861678,"D","4"
315000,2.5,1600,2,0,3,8,21,0,0,0.200451014783262,"D","3"
332000,2.25,2120,1,0,3,9,35,0,0.188679245283019,0.142138786456587,"D","3"
233000,2,1400,1,0,3,7,40,0,0,0.15255530129672,"D","3"
214000,2.5,1600,2,0,3,7,11,0,0,0.717167189601076,"D","3"
429000,1,1540,1,0,4,7,55,0,0.292207792207792,0.0405797101449275,"D","3"
480000,2.5,2940,2,0,3,9,9,0,0,0.320540776275621,"D","4"
280000,2,2190,1,0,4,7,37,0,0.461187214611872,0.151672553500935,"D","4"
350000,1.5,1320,1,0,3,7,21,0,0,0.0179347826086957,"D","2"
411000,2,2370,2,0,4,8,36,0,0,0.0309137155155547,"D","4"
524225,2.5,3056,2,0,3,9,1,0,0,0.268423364075538,"D","4"
197000,1.75,1690,1,0,4,7,38,0,0.372781065088757,0.218487394957983,"D","3"
367300,2.75,2190,2,0,3,8,21,0,0,0.14661578630247,"D","4"
254999,1,1580,1,0,4,7,39,0,0.367088607594937,0.208994708994709,"D","3"
275000,2.5,2217,2,0,3,7,5,0,0,0.276468387579499,"D","3"
124500,1,840,1,0,4,5,61,0,0,0.12962962962963,"D","2"
139000,1,1100,1,0,3,7,36,0,0,0.0634590977270105,"D","3"
227950,1.5,1670,1,0,5,7,60,0,0,0.202916160388821,"D","3"
230000,2,1440,1,0,4,7,48,0,0,0.133333333333333,"D","4"
275000,2.5,2497,2,0,3,8,7,0,0,0.5675,"D","3"
276000,1.75,2240,1,0,4,7,47,0,0.357142857142857,0.243478260869565,"D","3"
226500,2,1560,1,0,4,7,46,0,0,0.222857142857143,"D","3"
205000,2.5,1767,2,0,3,8,9,0,0,0.392666666666667,"D","4"
276000,2.5,2068,2,0,4,7,38,0,0,0.285556476111571,"D","4"
210000,2,1440,1,0,3,7,51,0,0,0.142419147463159,"D","3"
637000,3.5,4083,2,0,3,10,9,0,0,0.0597130614095383,"D","4"
227000,1.75,1510,2,0,3,7,25,0,0,0.15350208396869,"D","3"
210500,1,1220,1,0,5,7,57,0,0,0.127083333333333,"D","3"
215000,2.5,1322,2,0,3,7,5,0,0,0.22011322011322,"D","3"
460000,2.5,2720,2,0,3,8,13,0,0,0.0666454316026756,"D","3"
321000,2.5,2014,2,0,3,7,10,0,0,0.447555555555556,"D","3"
201700,1,1010,1,0,4,7,48,0,0,0.10547201336675,"D","3"
189950,2,1910,1,0,4,6,96,0,0.523560209424084,0.45207100591716,"D","4"
267000,2.5,2495,2,0,3,8,7,0,0,0.567045454545455,"D","3"
182500,2.25,1830,2,0,3,7,18,0,0,0.38575042158516,"D","3"
260000,2.25,2320,1,0,4,7,48,0,0.452586206896552,0.363921568627451,"D","5"
541800,2.5,3118,2,0,3,9,0,0,0,0.396389524535978,"D","4"
250000,2.75,1830,2,0,3,8,13,0,0,0.275477946710823,"D","4"
234500,2.5,1960,1,0,3,7,36,0,0.377551020408163,0.248888888888889,"D","4"
220000,1.5,1600,1,0,4,7,52,0,0,0.151687523701176,"D","3"
257000,1.5,1400,2,0,3,7,39,0,0,0.164705882352941,"D","4"
204700,2,1670,1,0,3,7,47,0,0,0.167217382597377,"D","4"
230000,2.25,1830,1,0,3,7,50,0,0.316939890710383,0.161503839025682,"D","3"
229500,1.5,1810,1,0,4,7,60,0,0,0.125694444444444,"D","3"
234000,2.5,1820,1,0,3,7,27,0,0.384615384615385,0.221492028720944,"D","4"
265000,1.5,2050,1,0,3,7,51,0,0.48780487804878,0.288732394366197,"D","4"
250000,1.5,2030,1,0,4,7,45,0,0.354679802955665,0.140972222222222,"D","3"
299950,2.5,1870,2,0,3,7,24,0,0,0.235457063711911,"D","3"
245000,1.75,1920,1,0,3,7,30,0,0.479166666666667,0.206318504190845,"D","3"
299000,1.75,2100,1,0,3,7,31,0,0,0.135658914728682,"D","3"
280000,2.5,1934,2,0,3,8,1,0,0,0.340672890611238,"D","4"
453000,2.5,2502,2,0,3,9,2,0,0,0.301228027931616,"D","4"
340000,1.75,1880,1,0,3,7,29,0,0.292553191489362,0.1671259667526,"D","3"
255000,2.75,1900,1,0,4,7,56,0,0,0.117887944406527,"D","3"
260000,1.5,1540,2,0,3,7,42,0,0,0.210958904109589,"D","4"
198000,1.75,1300,1,0,3,7,34,0,0,0.205761316872428,"D","3"
302000,2.5,1740,2,0,3,7,15,0,0,0.220392653578214,"D","4"
287500,2.5,2240,1,0,3,7,35,0,0.415178571428571,0.32258064516129,"D","4"
270000,2.5,1770,1,0,3,7,28,0,0.19774011299435,0.204861111111111,"D","3"
260000,2.75,2240,1,0,3,7,47,0,0.491071428571429,0.311111111111111,"D","4"
213550,2.5,1580,2,0,3,7,24,0,0,0.184990048003747,"D","3"
150000,1,1310,1,0,3,7,52,0,0.267175572519084,0.136287973366625,"D","3"
239950,1,1900,1.5,0,4,5,72,0,0,0.056067044381492,"D","3"
289000,1.75,2056,1,0,4,7,35,0,0.490272373540856,0.0392868744386907,"D","2"
264500,1.5,1580,1,0,3,7,34,0,0.335443037974684,0.112535612535613,"D","3"
313100,2,1730,1,0,3,8,21,0,0,0.134934872474846,"D","3"
353500,3,2050,2,0,3,8,0,0,0,0.5125,"D","4"
230000,1,1140,1,0,4,7,48,0,0,0.118269530034236,"D","3"
289000,2.5,1970,2,0,3,7,26,0,0.446700507614213,0.205058811283439,"D","3"
235245,2.5,1954,2,0,3,8,8,0,0,0.385024630541872,"D","4"
299900,2.25,2100,2,0,3,7,30,0,0,0.257258360896729,"D","3"
199900,1.75,1790,1,0,5,6,71,0,0,0.149166666666667,"D","4"
270000,1.75,1850,1,0,3,7,49,0,0.432432432432432,0.251700680272109,"D","4"
447500,2.5,2425,2,0,3,9,1,0,0,0.268936453365864,"D","4"
214100,2.5,1150,2,0,3,7,10,0,0,0.557170542635659,"D","2"
199900,1.75,1798,1,0,3,7,47,0,0,0.160078347578348,"D","5"
299000,2.5,2400,2,0,3,8,14,0,0,0.394866732477789,"D","4"
551870,2.5,2507,2,0,3,8,9,0,0,0.13625,"D","3"
280000,2.5,1600,2,0,3,7,14,0,0,0.374619527042847,"D","3"
317500,2.5,2233,2,0,3,7,3,0,0,0.370622406639004,"D","4"
234950,2,1430,1,0,3,7,20,0,0,0.131797235023041,"D","3"
370228,3,2050,2,0,3,8,1,0,0,0.5125,"D","4"
206000,2,1720,1,0,3,7,55,0,0,0.227513227513228,"D","4"
185900,1,940,1,0,4,5,106,0,0,0.086317722681359,"D","3"
175000,1,1300,1,0,5,6,56,0,0,0.0292588508023677,"D","2"
260000,2.5,2025,2,0,3,7,7,0,0,0.260953608247423,"D","5"
240000,1.75,1880,1,0,5,7,68,0,0.457446808510638,0.195833333333333,"D","4"
292500,2.5,1610,2,0,3,7,9,0,0,0.352451838879159,"D","4"
372000,2.5,2840,2,0,3,8,12,0,0,0.472545757071547,"D","5"
510000,2.5,4073,2,0,3,8,7,0,0,0.234971731856467,"D","4"
209000,1.75,1250,1,0,4,7,47,0,0,0.154626422563088,"D","3"
354450,2.75,2140,2,0,3,8,22,0,0,0.215725806451613,"D","4"
2e+05,1,1730,1,0,3,7,52,0,0.202312138728324,0.180020811654527,"D","2"
280000,1.75,1894,1.5,0,4,6,78,0,0.197465681098205,0.0358922852432299,"D","2"
349500,2.5,2030,2,0,3,8,0,0,0,0.441688424717145,"D","4"
449888,2.25,2520,2,0,3,9,26,0,0,0.0321395775941231,"D","3"
245000,2.5,1700,2,0,3,7,14,0,0,0.398313027179007,"D","4"
171500,1,1150,1.5,0,4,5,69,0,0,0.177469135802469,"D","3"
162500,1.5,1390,1,0,3,7,48,0,0,0.18740730753674,"D","3"
194250,2.25,2190,1,0,3,7,27,0,0.365296803652968,0.247905818428798,"D","3"
340000,2.5,2181,2,0,3,8,9,0,0,0.395037130954537,"D","4"
299000,1,1510,1,0,3,7,40,0,0,0.010574007548861,"D","3"
321500,2.5,2620,2,0,3,8,11,0,0,0.480117280557083,"D","4"
215500,1.75,1220,1,0,3,6,42,0,0,0.0782051282051282,"D","2"
166000,1,1120,1,0,3,7,26,0,0,0.0646203554119548,"D","1"
255000,2.5,1660,2,0,3,7,6,0,0,0.246876859012493,"D","4"
168000,1,1150,1.5,0,4,6,102,1,0,0.14375,"D","3"
375500,2.5,2301,2,0,3,9,4,0,0,0.356633601983881,"D","4"
215000,2.5,1847,2,0,3,7,6,0,0,0.230875,"D","4"
238000,1,1088,1,0,3,6,63,1,0,0.12871169998817,"D","2"
339000,2.5,2900,2,0,3,8,14,0,0,0.419196299508528,"D","4"
259900,2.75,1560,1,0,3,7,35,0,0.320512820512821,0.17687074829932,"D","4"
190000,2.25,1590,1,0,3,7,36,0,0.314465408805031,0.135376756066411,"D","3"
185000,1,980,1,0,3,7,59,0,0,0.10727969348659,"D","3"
367950,2.5,3030,2,0,3,8,26,0,0,0.318947368421053,"D","4"
420000,2.5,2480,2,0,3,10,13,0,0,0.2875028982147,"D","4"
225000,1,1120,1,0,4,6,53,0,0,0.105016408813877,"D","3"
205000,1,1340,1,0,4,7,45,0,0,0.169191919191919,"D","4"
363000,0.75,2510,2,0,4,7,54,0,0,0.1255,"D","3"
256000,2.5,1570,1,0,3,7,19,0,0.305732484076433,0.307060434187366,"D","3"
248000,3,2163,2,0,3,7,8,0,0,0.367669556348802,"D","4"
424000,2.5,2650,2,0,3,9,9,0,0,0.305123776626367,"D","4"
196000,1.5,1000,1,0,3,6,26,0,0,0.0538560965101249,"D","3"
190848,1.5,1370,1,0,3,7,45,0,0.343065693430657,0.17332995951417,"D","4"
269500,2.25,1700,2,0,3,7,15,0,0,0.24092970521542,"D","4"
196500,1,1320,1,0,3,7,48,0,0,0.146666666666667,"D","3"
215000,1.5,1100,1,0,3,7,47,0,0,0.0327380952380952,"D","3"
455000,2.5,3170,2,0,3,9,13,0,0,0.296594311377246,"D","4"
263400,2,1360,1,0,3,6,54,0,0.294117647058824,0.0224615181343727,"D","4"
265000,2.25,1630,2,0,3,7,23,0,0,0.148600601695688,"D","3"
331210,2.5,2240,2,0,3,8,1,0,0,0.466666666666667,"D","4"
260000,2,1630,1,0,3,7,11,0,0,0.203292591668745,"D","3"
1e+05,1,770,1,0,3,7,36,0,0,0.0444213684089073,"D","2"
276000,2.5,2495,2,0,3,8,7,0,0,0.567045454545455,"D","3"
255000,2.5,2163,2,0,3,7,9,0,0,0.367732063923835,"D","4"
850000,2.75,5440,1,0,2,9,45,0,0.5,0.0227064028716921,"D","4"
330000,2.5,3504,2,0,3,7,9,0,0,0.584,"D","4"
329500,2.5,2120,1,0,5,7,36,0,0.358490566037736,0.0942976603505026,"D","3"
196000,2.25,2070,2,0,3,7,40,0,0,0.178818244644091,"D","3"
280000,2.5,1550,2,0,3,7,15,0,0,0.345519393669193,"D","3"
482000,2.5,2846,1.5,0,3,8,14,0,0.305692199578356,0.0333345046089696,"D","4"
287600,2.5,1950,2,0,3,7,24,0,0,0.236334989698218,"D","3"
355000,3,2590,2,0,3,8,13,0,0,0.35907389435741,"D","4"
639900,2.5,3380,2,0,3,10,18,0,0,0.0445945589360635,"D","4"
370000,1.75,1620,2,0,4,7,61,1,0,0.0427294067997784,"D","3"
250000,2,1170,1,0,3,7,30,0,0,0.161201432901626,"D","3"
285000,2.5,2360,1,0,4,7,49,0,0.389830508474576,0.32108843537415,"D","4"
254950,2.5,1794,2,0,3,7,9,0,0,0.376179492556091,"D","3"
309000,2.75,2481,2,0,3,8,0,0,0,0.613349814585909,"D","5"
190000,2.5,1840,2,0,3,7,20,0,0,0.136367005113763,"D","4"
338500,2.5,2717,2,0,3,8,9,0,0,0.602038555284733,"D","4"
250000,1.75,1780,1,0,4,8,35,0,0.202247191011236,0.0505208185507905,"D","3"
272000,2,1380,1,0,3,7,25,0,0,0.184590690208668,"D","3"
250000,2,1050,1,0,4,7,62,0,0,0.0573645104895105,"D","3"
353000,2.5,1912,2,0,3,8,2,0,0,0.3824,"D","4"
160000,1.75,1610,1,0,4,7,50,0,0,0.21780303030303,"D","3"
270500,2.5,2406,2,0,3,8,8,0,0,0.339207669533343,"D","5"
250000,2.5,1750,2,0,3,7,3,0,0,0.275547157927885,"D","3"
230000,1.5,2140,1.5,0,4,8,111,1,0,0.0586156838039935,"D",">5"
352000,2.5,1252,1,0,3,8,19,0,0.207667731629393,0.0500759939204864,"D","4"
552900,3.5,3828,2.5,0,3,9,1,0,0,0.202539682539683,"D","4"
286950,2.5,2080,1,0,3,7,31,0,0.403846153846154,0.211253300832826,"D","4"
199000,1,1220,1,0,4,7,54,0,0,0.104006820119352,"D","4"
240000,1,1220,1,0,2,7,46,0,0.270491803278689,0.151083591331269,"D","4"
284200,2.5,1570,1,0,3,7,38,0,0.292993630573248,0.168962548428756,"D","3"
495000,2.75,2656,2,0,3,9,0,0,0,0.125312573720217,"D","4"
465000,2.5,2714,2,0,3,9,10,0,0,0.151315789473684,"D","3"
287000,2.5,2240,2,0,3,7,9,0,0,0.481927710843373,"D","4"
258000,2,1790,1.5,0,3,7,16,0,0,0.227186191141008,"D","3"
340000,2.5,2550,2,0,3,8,13,0,0,0.337524818001324,"D","4"
457000,2.5,2820,2,0,3,9,1,0,0,0.403837892023486,"D","4"
382450,2.5,2220,2,0,3,8,16,0,0,0.108129170522624,"D","3"
225000,2.5,1740,2,0,3,7,25,0,0,0.173134328358209,"D","3"
420000,2.25,3070,1,0,3,9,31,0,0.110749185667752,0.047944028860119,"D","5"
329995,2.5,2303,2,0,3,8,1,0,0,0.625815217391304,"D","4"
239950,2.25,1560,2,0,4,7,35,0,0,0.188405797101449,"D","3"
184000,1.75,1490,1,0,4,7,52,0,0,0.14716049382716,"D","3"
229950,1.75,1300,1,0,4,7,45,0,0,0.0619047619047619,"D","4"
330000,2.5,3597,2,0,3,7,8,0,0,0.723451327433628,"D","5"
215000,2.25,1500,2,0,3,7,15,0,0,0.278138327461524,"D","4"
259000,2.5,2153,2,0,3,8,8,0,0,0.489318181818182,"D","3"
220000,1.75,1290,1,0,3,7,31,0,0,0.156363636363636,"D","3"
132500,1,1080,1,0,3,7,47,0,0,0.102857142857143,"D","3"
159000,1,1360,1,0,4,7,61,0,0,0.068,"D","3"
230000,2,1450,1,0,3,7,11,0,0,0.129418064976794,"D","3"
174000,1,900,1,0,3,6,35,0,0,0.0665139309733205,"D","2"
154000,3,1530,1,0,3,6,22,0,0.333333333333333,0.153045913774132,"D","3"
305000,1,1960,1.5,0,4,6,79,0,0,0.0104884626910399,"D","2"
355000,2.75,2050,2,0,3,8,1,0,0,0.5125,"D","4"
179900,1.75,1230,1,0,3,6,44,0,0,0.1025,"D","3"
303000,2.25,2560,1,0,3,7,38,0,0.30078125,0.286770471603002,"D","4"
234950,2,1510,1,0,4,7,40,0,0,0.16497323281984,"D","3"
349950,2.5,2632,2,0,3,8,1,0,0,0.639300461501093,"D","4"
267500,1,1747,2.5,0,4,6,66,0,0,0.142612244897959,"D","2"
515000,2.5,3430,2,0,3,9,13,0,0,0.0700100014287755,"D","3"
195000,1,1310,1,0,3,7,53,0,0.267175572519084,0.137115344358384,"D","3"
285000,2.5,2200,2,0,3,8,27,0,0,0.234117271469618,"D","4"
199500,1,920,1,0,4,7,52,0,0,0.0937627395026498,"D","3"
243000,1.75,1450,1,0,4,7,33,0,0,0.119587628865979,"D","3"
240000,1,1690,1.5,0,4,7,102,0,0,0.084234660818422,"D","3"
360000,2.5,2160,2,0,3,9,22,0,0,0.226700251889169,"D","4"
286000,2.5,2060,2,0,3,6,22,0,0,0.12875,"D","4"
235000,1.5,2070,1,0,4,7,50,0,0.48792270531401,0.285714285714286,"D","4"
299000,1.75,1910,1.5,0,4,8,52,0,0,0.112333117685114,"D","3"
335000,2.5,2610,2,0,3,8,5,0,0,0.54591089730182,"D","4"
355000,2.5,2770,1,0,4,7,35,0,0.299638989169675,0.395714285714286,"D","4"
305000,2.5,2250,1,0,3,7,32,0,0.404444444444444,0.24749752502475,"D","4"
234950,2,1450,1,0,3,7,48,0,0,0.191798941798942,"D","4"
249900,1.75,1380,1,0,4,5,75,1,0,0.0985714285714286,"D","3"
110000,1,828,1,0,3,6,47,1,0,0.183023872679045,"D","2"
345500,2.5,1930,2,0,3,8,0,0,0,0.4825,"D","3"
225000,1,1080,1,0,3,6,62,0,0,0.0675,"D","3"
115000,1,1000,1,0,3,5,101,0,0,0.0605180343742435,"D","2"
215000,1.75,1210,1,0,4,6,31,0,0,0.14984520123839,"D","3"
359000,2.25,2710,1,0,4,7,53,0,0.317343173431734,0.118547681539808,"D","4"
295000,2.5,1940,1,0,3,7,36,0,0.268041237113402,0.18743961352657,"D","3"
274900,2,1936,2,0,3,7,0,0,0,0.292800967937084,"D","3"
349950,3.5,2796,2.5,0,3,8,2,0,0,0.794318181818182,"D","4"
1e+05,1,910,1,0,3,6,58,0,0,0.0413636363636364,"D","2"
272000,2.5,2789,2,0,3,7,7,0,0,0.704292929292929,"D","4"
286651,2.5,1830,2,0,3,7,11,0,0,0.366219731839103,"D","3"
210000,2.25,1500,2,0,3,7,15,0,0,0.278138327461524,"D","4"
233000,2,2130,1,0,4,7,47,0,0.413145539906103,0.222361415596618,"D","4"
221000,1,1250,1,0,3,7,50,0,0,0.171703296703297,"D","3"
198000,1.75,2080,1,0,4,7,48,0,0.495192307692308,0.288888888888889,"D","4"
359000,2.5,2575,2,0,3,8,3,0,0,0.544973544973545,"D","4"
312891,3,2300,2,0,3,8,1,0,0,0.280009739469199,"D","5"
278000,1.75,2710,1,0,4,7,49,0,0.239852398523985,0.298195422535211,"D","3"
170000,1,1280,1.5,0,5,6,102,0,0,0.0588505747126437,"D","2"
216000,2.5,1847,2,0,3,7,7,0,0,0.230875,"D","4"
194820,1.5,1100,1,0,3,7,47,0,0,0.0336391437308868,"D","3"
230000,1,1390,1,0,4,6,54,0,0,0.086875,"D","3"
215000,2.5,2130,2,0,3,7,11,0,0,0.473754448398576,"D","4"
351000,2.5,2594,2,0,3,8,3,0,0,0.582267115600449,"D","3"
199129,1,860,1,0,4,6,59,0,0,0.0255465779467681,"D","3"
415000,2.5,2891,2,0,3,9,0,0,0,0.444837667333436,"D","4"
375000,2,2270,1,0,3,7,54,0,0,0.123035230352304,"D","4"
249900,1.75,2080,1,0,5,6,64,0,0,0.166107650535058,"D","3"
184000,1,970,1,0,3,7,47,0,0,0.0653198653198653,"D","3"
265000,1.5,1580,2,0,4,7,44,0,0,0.186584789796882,"D","4"
206000,1.75,1140,1,0,4,7,46,0,0,0.116326530612245,"D","3"
